CustomerID,timestamp,test,price,convert
1,5/8/2015 3:38,0,407.62,0
2,5/10/2015 21:08,0,407.62,0
3,4/4/2015 15:01,0,407.62,0
4,5/7/2015 7:26,1,420.23,0
5,5/24/2015 11:04,0,407.62,0
6,4/13/2015 12:07,0,407.62,0
7,3/4/2015 14:45,0,407.62,0
8,3/15/2015 8:19,1,420.23,1
9,3/28/2015 12:28,1,420.23,0
10,4/24/2015 12:42,1,420.23,0
11,4/17/2015 13:30,0,407.62,0
12,5/15/2015 12:36,0,407.62,0
13,4/24/2015 10:09,0,407.62,0
14,3/21/2015 9:43,0,407.62,1
15,5/29/2015 8:19,0,407.62,0
16,3/22/2015 8:58,1,420.23,0
17,3/16/2015 12:20,0,407.62,0
18,3/8/2015 13:19,0,407.62,0
19,3/28/2015 18:41,1,420.23,0
20,3/4/2015 15:52,0,407.62,0
21,4/4/2015 23:10,0,407.62,0
22,5/3/2015 2:31,0,407.62,0
23,5/31/2015 10:29,0,407.62,0
24,5/16/2015 2:31,0,407.62,0
25,3/5/2015 11:32,1,420.23,0
26,3/28/2015 11:33,1,420.23,0
27,4/25/2015 15:13,0,407.62,0
28,5/31/2015 7:50,1,420.23,0
29,3/22/2015 13:26,1,420.23,0
30,3/15/2015 8:34,1,420.23,0
31,5/23/2015 6:47,0,407.62,0
32,4/17/2015 11:02,0,407.62,0
33,5/1/2015 5:18,0,407.62,0
34,4/17/2015 9:52,1,420.23,0
35,5/1/2015 5:21,0,407.62,0
36,3/19/2015 19:37,1,420.23,0
37,4/15/2015 11:09,1,420.23,0
38,3/20/2015 10:07,0,407.62,0
39,5/30/2015 13:47,1,420.23,0
40,4/2/2015 9:16,0,407.62,0
41,3/31/2015 16:15,0,407.62,0
42,3/25/2015 9:18,1,420.23,0
43,5/16/2015 13:25,1,420.23,0
44,4/5/2015 10:49,0,407.62,0
45,4/15/2015 9:56,0,407.62,0
46,5/29/2015 21:25,1,420.23,0
47,3/14/2015 10:24,1,420.23,1
48,3/19/2015 9:56,1,420.23,0
49,3/7/2015 8:11,0,407.62,0
50,4/4/2015 7:03,0,407.62,0
51,4/11/2015 17:07,0,407.62,0
52,4/11/2015 10:57,0,407.62,0
53,3/30/2015 9:11,1,420.23,0
54,5/10/2015 10:06,1,420.23,0
55,42118.5422,0,407.62,0
56,5/31/2015 11:17,0,407.62,0
57,3/5/2015 10:20,1,420.23,0
