order_id,payment_sequential,payment_type,payment_installments,payment_value
e481f51cbdc54678b7cc49136f2d6af7,1,credit_card,8,99.33
53cdb2fc8bc7dce0b6741e2150273451,1,credit_card,1,24.39
47770eb9100c2d0c44946d9cf07ec65d,1,credit_card,1,65.71
949d5b44dbf5de918fe9c16f97b45f8a,1,credit_card,8,107.78
ad21c59c0840e6cb83a9ceb5573f8159,1,credit_card,2,128.45
a4591c265e18cb1dcee52889e2d8acc3,1,credit_card,2,96.12
136cce7faa42fdb2cefd53fdc79a6098,1,credit_card,1,81.16
6514b8ad8028c9f2cc2374ded245783f,1,credit_card,3,51.84
76c6e866289321a7c93b82b54852dc33,1,credit_card,6,341.09
e69bfb5eb88e0ed6a785585b27e16dbf,1,boleto,1,51.95
e6ce16cb79ec1d90b1da9085a6118aeb,1,credit_card,8,188.73
34513ce0c4fab462a55830c0989c7edb,1,credit_card,1,141.9
82566a660a982b15fb86e904c8d32918,1,credit_card,1,75.78
5ff96c15d0b717ac6ad1f3d77225a350,1,credit_card,5,102.66
432aaf21d85167c2c86ec9448c4e42cc,1,credit_card,4,105.28
dcb36b511fcac050b97cd5c05de84dc3,1,credit_card,10,157.45
403b97836b0c04a622354cf531062e5f,1,credit_card,1,132.04
116f0b09343b49556bbad5f35bee0cdf,1,credit_card,1,98.94
85ce859fd6dc634de8d2f1e290444043,1,credit_card,4,244.15
83018ec114eee8641c97e08f7b4e926f,1,credit_card,3,136.71
203096f03d82e0dffbc41ebc2e2bcfb7,1,credit_card,4,47.69
f848643eec1d69395095eb3840d2051e,1,credit_card,2,170.57
2807d0e504d6d4894d41672727bc139f,1,credit_card,4,67.5
95266dbfb7e20354baba07964dac78d5,1,credit_card,10,353.09
f3e7c359154d965827355f39d6b1fdac,1,boleto,1,330.66
fbf9ac61453ac646ce8ad9783d7d0af6,2,voucher,1,45.17
acce194856392f074dbf9dada14d8d82,1,credit_card,2,541
dd78f560c270f1909639c11b925620ea,1,credit_card,2,139.22
91b2a010e1e45e6ba3d133fa997597be,1,credit_card,2,290.16
ecab90c9933c58908d3d6add7c6f5ae3,1,boleto,1,283.34
f70a0aff17df5a6cdd9a7196128bd354,1,credit_card,1,13.78
1790eea0b567cf50911c057cf20f90f9,1,credit_card,1,30.28
989225ba6d0ebd5873335f7e01de2ae7,1,credit_card,1,26.58
d887b52c6516beb39e8cd44a5f8b60f7,1,credit_card,1,89.68
b276e4f8c0fb86bd82fce576f21713e0,1,credit_card,1,65.09
8563039e855156e48fccee4d611a3196,1,credit_card,1,173.84
60550084e6b4c0cb89a87df1f3e5ebd9,1,credit_card,1,103.49
5acce57f8d9dfd55fa48e212a641a69d,1,credit_card,1,64.03
434d158e96bdd6972ad6e6d73ddcfd22,1,credit_card,3,157.15
7206b86ea789983f7a273ea7fa0bc2a8,1,boleto,1,130.88
1e7aff52cdbb2451ace09d0f848c3699,1,credit_card,2,47.72
6ea2f835b4556291ffdc53fa0b3b95e8,1,credit_card,8,117.74
948097deef559c742e7ce321e5e58919,1,boleto,1,56.6
d22e9fa5731b9e30e8b27afcdc2f8563,1,credit_card,1,266.16
ee64d42b8cf066f35eac1cf57de1aa85,1,boleto,1,31.38
6ebaec694d7025e2ad4a05dba887c032,1,credit_card,1,121.49
d17dc4a904426827ca80f2ccb3a6be56,1,credit_card,1,32
25f4376934e13d3508486352e11a5db0,1,credit_card,5,153.41
5820a1100976432c7968a52da59e9364,1,credit_card,5,65.71
2ce1ad82022c1ba30c2079502ac725aa,1,credit_card,4,278.22
138849fd84dff2fb4ca70a0a34c4aa1c,1,credit_card,4,91.66
