order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
e481f51cbdc54678b7cc49136f2d6af7,1,4244733e06e7ecb4970a6e2683c13e61,48436dade18ac8b2bce089ec2a041202,9/19/2017 9:45,58.9,13.29
53cdb2fc8bc7dce0b6741e2150273451,1,e5f2d52b802189ee658865ca93d83a8f,dd7ddc04e1b6c2c614352b383efe2d36,5/3/2017 11:05,239.9,19.93
47770eb9100c2d0c44946d9cf07ec65d,1,c777355d18b72b67abbeef9df44fd0fd,5b51032eddd242adc84c38acab88f23d,1/18/2018 14:48,199,17.87
949d5b44dbf5de918fe9c16f97b45f8a,1,7634da152a4610f1595efa32f14722fc,9d7a1d34a5052409006425275ba1c2b4,8/15/2018 10:10,12.99,12.79
ad21c59c0840e6cb83a9ceb5573f8159,1,ac6c3623068f30de03045865e4e10089,df560393f3a51e74553ab94004ba5c87,2/13/2017 13:57,199.9,18.14
a4591c265e18cb1dcee52889e2d8acc3,1,ef92defde845ab8450f9d70c526ef70f,6426d21aca402a131fc0a5d0960a3c90,5/23/2017 3:55,21.9,12.69
136cce7faa42fdb2cefd53fdc79a6098,1,8d4f2bb7e93e6710a28f34fa83ee7d28,7040e82f899a04d1b434b795a43b4617,12/14/2017 12:10,19.9,11.85
6514b8ad8028c9f2cc2374ded245783f,1,557d850972a7d6f792fd18ae1400d9b6,5996cddab893a4652a15592fb58ab8db,7/10/2018 12:30,810,70.75
76c6e866289321a7c93b82b54852dc33,1,310ae3c140ff94b03219ad0adc3c778f,a416b6a846a11724393025641d4edd5e,3/26/2018 18:31,145.95,11.65
e69bfb5eb88e0ed6a785585b27e16dbf,1,4535b0e1091c278dfd193e5a1d63b39f,ba143b05f0110f0dc71ad71b4466ce92,7/6/2018 14:10,53.99,11.4
e6ce16cb79ec1d90b1da9085a6118aeb,1,d63c1011f49d98b976c352955b1c4bea,cc419e0650a3c5ba77189a1882b7556a,3/29/2018 22:28,59.99,8.88
