order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
e481f51cbdc54678b7cc49136f2d6af7,06b8999e2fba1a1fbc88172c00ba8bc7,delivered,2017-10-02 10:56:00,2017-10-02 11:07:00,2017-10-04 19:55:00,2017-10-10 21:25:00,2017-10-18 00:00:00
53cdb2fc8bc7dce0b6741e2150273451,18955e83d337fd6b2def6b18a428ac77,delivered,2018-07-24 20:41:00,2018-07-26 03:24:00,2018-07-26 14:31:00,2018-08-07 15:27:00,2018-08-13 00:00:00
47770eb9100c2d0c44946d9cf07ec65d,4e7b3e00288586ebd08712fdd0374a03,delivered,2018-08-08 08:38:00,2018-08-08 08:55:00,2018-08-08 13:50:00,2018-08-17 18:06:00,2018-09-04 00:00:00
949d5b44dbf5de918fe9c16f97b45f8a,b2b6027bc5c5109e529d4dc6358b12c3,delivered,2017-11-18 19:28:00,2017-11-18 19:45:00,2017-11-22 13:39:00,2017-12-02 00:28:00,2017-12-15 00:00:00
ad21c59c0840e6cb83a9ceb5573f8159,4f2d8ab171c80ec8364f7c12e35b23ad,delivered,2018-02-13 21:18:00,2018-02-13 22:20:00,2018-02-14 19:46:00,2018-02-16 18:17:00,2018-02-26 00:00:00
a4591c265e18cb1dcee52889e2d8acc3,879864dab9bc3047522c92c82e1212b8,delivered,2017-07-09 21:57:00,2017-07-09 22:10:00,2017-07-11 14:58:00,2017-07-26 10:57:00,2017-08-01 00:00:00
136cce7faa42fdb2cefd53fdc79a6098,fd826e7cf63160e536e0908c76c3f441,invoiced,2017-04-11 12:22:00,2017-04-13 13:25:00,,,2017-05-09 00:00:00
6514b8ad8028c9f2cc2374ded245783f,5e274e7a0c3809e14aba7ad5aae0d407,delivered,2017-05-16 13:10:00,2017-05-16 13:22:00,2017-05-22 10:07:00,2017-05-26 12:55:00,2017-06-07 00:00:00
76c6e866289321a7c93b82b54852dc33,5adf08e34b2e993982a47070956c5c65,delivered,2017-01-23 18:29:00,2017-01-25 02:50:00,2017-01-26 14:16:00,2017-02-02 14:08:00,2017-03-06 00:00:00
e69bfb5eb88e0ed6a785585b27e16dbf,4b7139f34592b3a31687243a302fa75b,delivered,2017-07-29 11:55:00,2017-07-29 12:05:00,2017-08-10 19:45:00,2017-08-16 17:14:00,2017-08-23 00:00:00
e6ce16cb79ec1d90b1da9085a6118aeb,9fb35e4ed6f0a14a4977cd9aea4042bb,delivered,2017-05-16 19:41:00,2017-05-16 19:50:00,2017-05-18 11:40:00,2017-05-29 11:18:00,2017-06-07 00:00:00
34513ce0c4fab462a55830c0989c7edb,5aa9e4fdd4dfd20959cad2d772509598,delivered,2017-07-13 19:58:00,2017-07-13 20:10:00,2017-07-14 18:43:00,2017-07-19 14:04:00,2017-08-08 00:00:00
82566a660a982b15fb86e904c8d32918,b2d1536598b73a9abd18e0d75d92f0a3,delivered,2018-06-07 10:06:00,2018-06-09 03:13:00,2018-06-11 13:29:00,2018-06-19 12:05:00,2018-07-18 00:00:00
5ff96c15d0b717ac6ad1f3d77225a350,eabebad39a88bb6f5b52376faec28612,delivered,2018-07-25 17:44:00,2018-07-25 17:55:00,2018-07-26 13:16:00,2018-07-30 15:52:00,2018-08-08 00:00:00
432aaf21d85167c2c86ec9448c4e42cc,1f1c7bf1c9b041b292af6c1c4470b753,delivered,2018-03-01 14:14:00,2018-03-01 15:10:00,2018-03-02 21:09:00,2018-03-12 23:36:00,2018-03-21 00:00:00
dcb36b511fcac050b97cd5c05de84dc3,206f3129c0e4d7d0b9550426023f0a08,delivered,2018-06-07 19:03:00,2018-06-12 23:31:00,2018-06-11 14:54:00,2018-06-21 15:34:00,2018-07-04 00:00:00
403b97836b0c04a622354cf531062e5f,a7c125a0a07b75146167b7f04a7f8e98,delivered,2018-01-02 19:00:00,2018-01-02 19:09:00,2018-01-03 18:19:00,2018-01-20 01:38:00,2018-02-06 00:00:00
116f0b09343b49556bbad5f35bee0cdf,c5c61596a3b6bd0cee5766992c48a9a1,delivered,2017-12-26 23:41:00,2017-12-26 23:50:00,2017-12-28 18:33:00,2018-01-08 22:36:00,2018-01-29 00:00:00
85ce859fd6dc634de8d2f1e290444043,9b8ce803689b3562defaad4613ef426f,delivered,2017-11-21 00:03:00,2017-11-21 00:14:00,2017-11-23 21:32:00,2017-11-27 18:28:00,2017-12-11 00:00:00
83018ec114eee8641c97e08f7b4e926f,49d0ea0986edde72da777f15456a0ee0,delivered,2017-10-26 15:54:00,2017-10-26 16:08:00,2017-10-26 21:46:00,2017-11-08 22:22:00,2017-11-23 00:00:00
203096f03d82e0dffbc41ebc2e2bcfb7,154c4ded6991bdfa3cd249d11abf4130,delivered,2017-09-18 14:31:00,2017-09-19 04:04:00,2017-10-06 17:50:00,2017-10-09 22:23:00,2017-09-28 00:00:00
f848643eec1d69395095eb3840d2051e,690172ab319622688d3b4df42f676898,delivered,2018-03-15 08:52:00,2018-03-15 09:09:00,2018-03-15 19:52:00,2018-03-19 18:08:00,2018-03-29 00:00:00
